id_convenio,nombre_convenio,tipo,fecha_inicio
CONV0001,H. Ayuntamiento de Puebla,Gobierno,2022-02-27
CONV0002,Cemex,Empresa,2022-04-03
CONV0003,Secretaría de Salud,Gobierno,2021-10-17
CONV0004,DIF Estatal,Gobierno,2018-03-07
CONV0005,Secretaría de Salud,Gobierno,2019-03-24
CONV0006,H. Ayuntamiento de Puebla,Gobierno,2021-02-23
CONV0007,DIF Estatal,Gobierno,2019-03-28
CONV0008,Liverpool,Empresa,2021-01-14
CONV0009,DIF Estatal,Gobierno,2019-11-28
CONV0010,Femsa Comercio,Empresa,2022-03-17
CONV0011,Walmart de México,Empresa,2021-07-09
CONV0012,Walmart de México,Empresa,2023-01-06
CONV0013,Liverpool,Empresa,2021-03-30
CONV0014,Walmart de México,Empresa,2023-02-15
CONV0015,Secretaría de Educación Pública,Gobierno,2022-08-26
CONV0016,Cemex,Empresa,2024-12-13
CONV0017,H. Ayuntamiento de Puebla,Gobierno,2021-09-16
CONV0018,Secretaría de Educación Pública,Gobierno,2018-06-13
CONV0019,Secretaría de Salud,Gobierno,2020-02-18
CONV0020,Televisa,Empresa,2024-07-25
CONV0021,Femsa Comercio,Empresa,2023-01-29
CONV0022,Cemex,Empresa,2024-10-04
CONV0023,Walmart de México,Empresa,2024-06-01
CONV0024,ISSSTE,Gobierno,2018-12-01
CONV0025,Grupo Salinas,Empresa,2022-07-07
CONV0026,Gobierno del Estado de Puebla,Gobierno,2022-09-23
CONV0027,ISSSTE,Gobierno,2022-08-11
CONV0028,Gobierno del Estado de Puebla,Gobierno,2020-04-01
CONV0029,Walmart de México,Empresa,2022-03-09
CONV0030,Cemex,Empresa,2024-09-04
CONV0031,Grupo Salinas,Empresa,2024-08-09
CONV0032,Femsa Comercio,Empresa,2022-06-27
CONV0033,ISSSTE,Gobierno,2022-03-06
CONV0034,Grupo Salinas,Empresa,2024-04-10
CONV0035,BBVA México,Empresa,2022-03-26
CONV0036,Fiscalía General del Estado,Gobierno,2018-07-06
CONV0037,Secretaría de Salud,Gobierno,2018-11-10
CONV0038,DIF Estatal,Gobierno,2021-05-06
CONV0039,DIF Estatal,Gobierno,2020-02-21
CONV0040,Liverpool,Empresa,2024-02-08
CONV0041,Secretaría de Salud,Gobierno,2021-10-28
CONV0042,BBVA México,Empresa,2021-08-17
CONV0043,Grupo Salinas,Empresa,2021-11-20
CONV0044,Grupo Bimbo S.A. de C.V.,Empresa,2025-01-18
CONV0045,Femsa Comercio,Empresa,2023-11-06
CONV0046,Secretaría de Educación Pública,Gobierno,2022-09-20
CONV0047,IMSS,Gobierno,2020-02-05
CONV0048,H. Ayuntamiento de Puebla,Gobierno,2021-05-11
CONV0049,Televisa,Empresa,2021-02-09
CONV0050,Gobierno del Estado de Puebla,Gobierno,2022-12-05
