id_credito,id_cliente,id_convenio,fecha_apertura,monto,tasa,estatus
CRED0001,CLI0029,CONV0002,2024-07-17,69196,22.68,Liquidado
CRED0002,CLI0140,CONV0006,2025-05-14,13331,28.51,Activo
CRED0003,CLI0130,CONV0039,2023-02-24,152127,14.39,Liquidado
CRED0004,CLI0140,CONV0027,2024-03-27,122757,19.07,Liquidado
CRED0005,CLI0002,CONV0049,2023-11-23,188013,17.07,Activo
CRED0006,CLI0056,CONV0049,2024-11-20,31793,21.11,Activo
CRED0007,CLI0089,CONV0039,2024-06-25,216583,12.52,Activo
CRED0008,CLI0032,CONV0025,2023-06-11,149714,15.52,Liquidado
CRED0009,CLI0093,CONV0037,2024-01-29,189699,12.83,Liquidado
CRED0010,CLI0075,CONV0006,2024-04-21,232143,13.21,Activo
CRED0011,CLI0094,CONV0011,2025-01-28,98132,14.51,Activo
CRED0012,CLI0019,CONV0039,2023-12-17,145021,20.75,Activo
CRED0013,CLI0098,CONV0018,2024-03-25,184467,15.89,Liquidado
CRED0014,CLI0015,CONV0015,2023-03-07,216037,15.79,Activo
CRED0015,CLI0055,CONV0037,2024-10-06,60738,27.87,Activo
CRED0016,CLI0118,CONV0010,2024-06-26,41603,22.96,Liquidado
CRED0017,CLI0068,CONV0048,2025-05-27,240358,19.0,Activo
CRED0018,CLI0036,CONV0033,2025-10-07,28831,29.07,Vencido
CRED0019,CLI0040,CONV0041,2023-11-24,212638,20.17,Liquidado
CRED0020,CLI0099,CONV0025,2025-08-16,143704,15.02,Liquidado
CRED0021,CLI0003,CONV0044,2023-08-23,183706,22.62,Liquidado
CRED0022,CLI0088,CONV0008,2024-08-24,118971,13.9,Activo
CRED0023,CLI0068,CONV0033,2024-01-01,138085,22.95,Vencido
CRED0024,CLI0077,CONV0041,2025-11-05,164637,14.39,Activo
CRED0025,CLI0042,CONV0035,2025-12-22,245777,12.01,Activo
CRED0026,CLI0005,CONV0008,2025-01-13,235351,23.82,Liquidado
CRED0027,CLI0062,CONV0004,2024-05-08,235164,18.81,Activo
CRED0028,CLI0125,CONV0005,2025-12-26,205758,13.51,Liquidado
CRED0029,CLI0141,CONV0011,2024-06-26,143326,22.47,Activo
CRED0030,CLI0055,CONV0035,2024-02-16,191895,15.74,Cancelado
CRED0031,CLI0096,CONV0029,2025-11-25,123354,13.45,Activo
CRED0032,CLI0087,CONV0002,2024-04-16,159256,14.64,Activo
CRED0033,CLI0016,CONV0015,2023-05-19,242350,12.38,Activo
CRED0034,CLI0132,CONV0016,2024-07-24,180368,17.82,Activo
CRED0035,CLI0147,CONV0037,2025-08-26,68700,29.42,Liquidado
CRED0036,CLI0049,CONV0007,2023-07-18,177748,17.17,Activo
CRED0037,CLI0120,CONV0047,2023-04-21,181518,19.84,Liquidado
CRED0038,CLI0016,CONV0026,2024-11-25,214870,22.34,Activo
CRED0039,CLI0049,CONV0035,2025-07-07,41747,25.06,Activo
CRED0040,CLI0064,CONV0005,2025-06-26,216818,22.34,Liquidado
CRED0041,CLI0013,CONV0042,2023-01-31,29448,31.12,Vencido
CRED0042,CLI0043,CONV0027,2025-09-21,131185,14.56,Activo
CRED0043,CLI0016,CONV0011,2025-02-15,5565,44.75,Activo
CRED0044,CLI0117,CONV0019,2025-05-16,187607,23.49,Cancelado
CRED0045,CLI0143,CONV0043,2025-09-23,45579,22.28,Activo
CRED0046,CLI0015,CONV0038,2023-05-05,201077,15.76,Activo
CRED0047,CLI0123,CONV0033,2025-12-23,46270,20.68,Activo
CRED0048,CLI0048,CONV0005,2023-05-20,182002,22.34,Activo
CRED0049,CLI0146,CONV0016,2023-03-23,167367,12.98,Liquidado
CRED0050,CLI0145,CONV0034,2024-10-09,73358,22.45,Liquidado
CRED0051,CLI0062,CONV0017,2025-03-21,39308,28.06,Activo
CRED0052,CLI0081,CONV0049,2023-05-29,7441,35.79,Cancelado
CRED0053,CLI0026,CONV0005,2024-03-12,137614,15.18,Cancelado
CRED0054,CLI0018,CONV0016,2025-01-26,79707,21.89,Liquidado
CRED0055,CLI0078,CONV0040,2025-12-19,7050,39.35,Vencido
CRED0056,CLI0027,CONV0009,2024-06-25,35258,30.68,Vencido
CRED0057,CLI0040,CONV0018,2024-07-31,163552,14.53,Activo
CRED0058,CLI0068,CONV0033,2025-09-27,70829,30.86,Vencido
CRED0059,CLI0024,CONV0041,2025-05-17,222408,15.32,Activo
CRED0060,CLI0034,CONV0041,2024-06-20,47357,28.89,Liquidado
CRED0061,CLI0110,CONV0036,2023-01-20,34327,20.9,Vencido
CRED0062,CLI0039,CONV0035,2023-03-15,223784,16.43,Liquidado
CRED0063,CLI0111,CONV0009,2023-03-27,85808,16.38,Cancelado
CRED0064,CLI0011,CONV0023,2024-03-06,183799,14.99,Activo
CRED0065,CLI0144,CONV0027,2023-11-13,247683,23.16,Vencido
CRED0066,CLI0046,CONV0027,2023-02-20,52018,28.84,Activo
CRED0067,CLI0106,CONV0043,2024-05-23,74941,21.91,Liquidado
CRED0068,CLI0098,CONV0003,2025-08-21,63309,22.39,Vencido
CRED0069,CLI0090,CONV0020,2024-04-11,63438,20.28,Activo
CRED0070,CLI0085,CONV0018,2023-05-23,207722,15.35,Liquidado
CRED0071,CLI0103,CONV0044,2024-11-09,12235,29.96,Cancelado
CRED0072,CLI0046,CONV0038,2024-06-27,15028,29.84,Activo
CRED0073,CLI0081,CONV0028,2025-11-13,35315,24.62,Liquidado
CRED0074,CLI0066,CONV0003,2025-06-12,5443,36.84,Vencido
CRED0075,CLI0051,CONV0024,2025-06-02,23343,31.39,Cancelado
CRED0076,CLI0081,CONV0043,2023-09-13,193679,22.8,Activo
CRED0077,CLI0105,CONV0021,2025-04-04,187769,15.55,Activo
CRED0078,CLI0108,CONV0043,2025-02-15,182554,20.98,Activo
CRED0079,CLI0146,CONV0020,2025-04-11,148638,22.0,Activo
CRED0080,CLI0054,CONV0028,2024-10-21,126893,17.3,Liquidado
CRED0081,CLI0131,CONV0031,2023-12-14,177713,13.02,Activo
CRED0082,CLI0086,CONV0006,2024-04-26,181369,15.73,Liquidado
CRED0083,CLI0038,CONV0002,2023-04-05,69184,31.81,Vencido
CRED0084,CLI0019,CONV0030,2025-04-28,237295,19.56,Activo
CRED0085,CLI0099,CONV0032,2025-03-29,68959,21.77,Liquidado
CRED0086,CLI0028,CONV0050,2025-05-20,62367,22.11,Cancelado
CRED0087,CLI0133,CONV0030,2023-04-13,151120,14.99,Liquidado
CRED0088,CLI0117,CONV0009,2025-08-09,180001,18.37,Liquidado
CRED0089,CLI0082,CONV0049,2025-06-25,165603,21.78,Vencido
CRED0090,CLI0110,CONV0036,2025-07-02,240197,13.91,Vencido
CRED0091,CLI0116,CONV0017,2024-05-21,225165,19.65,Liquidado
CRED0092,CLI0134,CONV0032,2024-05-04,76984,25.28,Liquidado
CRED0093,CLI0061,CONV0018,2024-11-18,88809,22.72,Activo
CRED0094,CLI0039,CONV0015,2025-02-23,186914,13.83,Activo
CRED0095,CLI0107,CONV0027,2024-11-08,147242,17.59,Activo
CRED0096,CLI0108,CONV0025,2023-02-10,229587,22.57,Liquidado
CRED0097,CLI0123,CONV0001,2024-12-21,83279,21.04,Vencido
CRED0098,CLI0108,CONV0035,2024-03-27,132986,14.63,Activo
CRED0099,CLI0008,CONV0025,2024-11-19,180341,20.15,Activo
CRED0100,CLI0043,CONV0030,2023-09-19,168120,18.41,Vencido
CRED0101,CLI0145,CONV0043,2023-02-25,27006,27.71,Activo
CRED0102,CLI0119,CONV0012,2023-04-13,73198,24.55,Activo
CRED0103,CLI0084,CONV0022,2025-02-15,77943,29.02,Liquidado
CRED0104,CLI0065,CONV0006,2025-08-21,10081,40.73,Activo
CRED0105,CLI0090,CONV0015,2023-05-21,209795,23.49,Activo
CRED0106,CLI0008,CONV0016,2024-02-13,224998,12.24,Activo
CRED0107,CLI0033,CONV0031,2023-08-23,152841,23.37,Activo
CRED0108,CLI0066,CONV0050,2025-01-25,48984,27.27,Cancelado
CRED0109,CLI0030,CONV0050,2023-12-02,86536,13.3,Activo
CRED0110,CLI0080,CONV0037,2025-02-07,108980,23.3,Activo
CRED0111,CLI0063,CONV0007,2024-09-09,227899,20.21,Liquidado
CRED0112,CLI0145,CONV0003,2024-12-12,144655,17.14,Activo
CRED0113,CLI0130,CONV0042,2024-11-29,8316,42.44,Vencido
CRED0114,CLI0028,CONV0028,2025-01-11,171614,22.7,Activo
CRED0115,CLI0040,CONV0028,2023-12-27,197360,18.26,Liquidado
