id_pago,id_credito,fecha_pago,monto_pago
PAGO000001,CRED0001,2023-09-16,821.58
PAGO000002,CRED0001,2023-10-18,772.65
PAGO000003,CRED0001,2023-11-15,966.64
PAGO000004,CRED0001,2023-12-12,1050.44
PAGO000005,CRED0002,2023-08-28,22036.26
PAGO000006,CRED0002,2023-09-22,25439.15
PAGO000007,CRED0002,2023-10-30,22054.16
PAGO000008,CRED0002,2023-12-02,27904.21
PAGO000009,CRED0002,2023-12-27,27401.4
PAGO000010,CRED0002,2024-01-26,26798.83
PAGO000011,CRED0002,2024-03-01,22181.87
PAGO000012,CRED0003,2025-06-13,1201.45
PAGO000013,CRED0003,2025-07-11,909.84
PAGO000014,CRED0003,2025-08-08,1025.58
PAGO000015,CRED0003,2025-09-13,1131.99
PAGO000016,CRED0003,2025-10-09,1165.61
PAGO000017,CRED0004,2023-03-26,7441.41
PAGO000018,CRED0004,2023-04-22,6498.59
PAGO000019,CRED0004,2023-05-28,6563.04
PAGO000020,CRED0004,2023-06-24,5209.54
PAGO000021,CRED0004,2023-07-26,7061.42
PAGO000022,CRED0004,2023-08-22,7270.86
PAGO000023,CRED0004,2023-09-19,6060.82
PAGO000024,CRED0004,2023-10-28,6711.58
PAGO000025,CRED0004,2023-12-03,5507.04
PAGO000026,CRED0004,2024-01-08,5626.35
PAGO000027,CRED0004,2024-02-10,6879.99
PAGO000028,CRED0004,2024-03-08,6643.96
PAGO000029,CRED0004,2024-04-07,6453.0
PAGO000030,CRED0004,2024-05-09,5508.95
PAGO000031,CRED0004,2024-06-15,5780.26
PAGO000032,CRED0004,2024-07-17,6836.18
PAGO000033,CRED0004,2024-08-12,5676.11
PAGO000034,CRED0004,2024-09-07,7142.85
PAGO000035,CRED0004,2024-10-14,5774.64
PAGO000036,CRED0004,2024-11-14,7418.09
PAGO000037,CRED0004,2024-12-19,5634.29
PAGO000038,CRED0004,2025-01-28,6100.3
PAGO000039,CRED0004,2025-03-08,6620.32
PAGO000040,CRED0005,2025-06-08,3642.14
PAGO000041,CRED0005,2025-07-11,3644.83
PAGO000042,CRED0005,2025-08-18,3844.93
PAGO000043,CRED0005,2025-09-24,3133.98
PAGO000044,CRED0005,2025-10-23,3329.72
PAGO000045,CRED0005,2025-11-19,3656.46
